"","OBS","MOD","MONTH_NUM","METHOD","KF","Month.ordered"
"1089",23.28,20.3219907777778,"FEB","RF",3,"FEB"
"1090",27.8133333333333,27.1755578888888,"FEB","RF",3,"FEB"
"1091",22,21.5882666666667,"MAR","RF",3,"MAR"
"1092",25.5,24.5505066888889,"MAR","RF",3,"MAR"
"1093",17.9366666666667,18.6089846666667,"MAR","RF",3,"MAR"
"1094",23.78,20.9234725555555,"MAR","RF",3,"MAR"
"1095",28.3066666666667,27.5873365555555,"MAR","RF",3,"MAR"
"1096",22.3366666666667,21.6783636666667,"APR","RF",3,"APR"
"1097",25.3166666666667,24.5819214444444,"APR","RF",3,"APR"
"1098",18.8066666666667,19.2109546666667,"APR","RF",3,"APR"
"1099",27.1833333333333,21.2183927777778,"APR","RF",3,"APR"
"1100",28.2866666666667,27.5995998888889,"APR","RF",3,"APR"
"1101",22.26,21.7108577777778,"MAY","RF",3,"MAY"
"1102",24.4166666666667,24.1414087777778,"MAY","RF",3,"MAY"
"1103",19.7733333333333,19.4181645555555,"MAY","RF",3,"MAY"
"1104",23.4666666666667,21.4189093333333,"MAY","RF",3,"MAY"
"1105",27.86,27.2936225555556,"MAY","RF",3,"MAY"
"1106",21.7066666666667,21.2469071555556,"JUN","RF",3,"JUN"
"1107",23.8833333333333,24.0428186222222,"JUN","RF",3,"JUN"
"1108",19.3266666666667,19.1070576666667,"JUN","RF",3,"JUN"
"1109",23.1633333333333,20.7767325777778,"JUN","RF",3,"JUN"
"1110",27.44,27.0316532222222,"JUN","RF",3,"JUN"
"1111",22.0833333333333,21.1128105555556,"JUL","RF",3,"JUL"
"1112",23.8166666666667,23.5458432866666,"JUL","RF",3,"JUL"
"1113",19.1666666666667,19.0208124444444,"JUL","RF",3,"JUL"
"1114",23.0766666666667,20.5948566666667,"JUL","RF",3,"JUL"
"1115",27.3566666666667,26.9991419677779,"JUL","RF",3,"JUL"
"1116",21.9366666666667,21.037074,"AUG","RF",3,"AUG"
"1117",23.5833333333333,23.7999482222222,"AUG","RF",3,"AUG"
"1118",19.3766666666667,18.8206406666667,"AUG","RF",3,"AUG"
"1119",22.9533333333333,21.7812421111111,"AUG","RF",3,"AUG"
"1120",27.1333333333333,26.6462122222222,"AUG","RF",3,"AUG"
"1121",21.4,21.0066448888889,"SEP","RF",3,"SEP"
"1122",23.1,23.5014213333333,"SEP","RF",3,"SEP"
"1123",13.36,18.8901494444444,"SEP","RF",3,"SEP"
"1124",22.8333333333333,20.7390934444445,"SEP","RF",3,"SEP"
"1125",27.1466666666667,26.9326676666667,"SEP","RF",3,"SEP"
"1126",21.34,20.763631,"OCT","RF",3,"OCT"
"1127",23.2833333333333,23.4094556666667,"OCT","RF",3,"OCT"
"1128",19.2033333333333,18.8140157777778,"OCT","RF",3,"OCT"
"1129",22.6533333333333,20.6217011111111,"OCT","RF",3,"OCT"
"1130",26.94,26.8200486666666,"OCT","RF",3,"OCT"
"1131",21.1733333333333,20.7043527777778,"NOV","RF",3,"NOV"
"1132",23.5833333333333,23.4130383333334,"NOV","RF",3,"NOV"
"1133",18.6366666666667,18.4598807777778,"NOV","RF",3,"NOV"
"1134",22.69,20.3595956666667,"NOV","RF",3,"NOV"
"1135",27.0433333333333,26.6820042222222,"NOV","RF",3,"NOV"
"1136",20.79,20.2608974166666,"DIC","RF",3,"DIC"
"1137",23.95,23.1490960833334,"DIC","RF",3,"DIC"
