"","num.month","DELTA.MAE.idw3","DELTA.RMSE.idw3","DELTA.R2.idw3","DELTA.MAE.cubist","DELTA.RMSE.cubist","DELTA.R2.cubist","DELTA.MAE.ok","DELTA.RMSE.ok","DELTA.R2.ok","DELTA.MAE.ked","DELTA.RMSE.ked","DELTA.R2.ked","DELTA.MAE.rf","DELTA.RMSE.rf","DELTA.R2.rf","R2.RF.train","error.RF.train","num.kf"
"19",7,0.994447022706036,1.31779132873841,0.8819,0.863367462158203,1.27165271329771,0.912,1.80209920037938,2.46193988807477,0.6617,0.914731190322195,1.42605297383654,0.8886,1.37892372148148,1.59371593674168,0.7947,0.880364951039139,2.11492716114834,2
"20",8,1.85828567945055,3.21706723855454,0.5845,2.35514084710015,4.05522862735374,0.3468,1.77893650095087,2.50945030417638,0.7802,2.15950658846634,3.81626368777121,0.4003,2.27186090740741,3.34245589496698,0.4597,0.876402830186065,2.07803489990132,2
"21",9,1.24517541094478,1.47022812606052,0.8583,0.975653143988715,1.67364617135767,0.8691,2.28074125194447,2.99209963152085,0.5532,0.958638623632787,1.64164687168516,0.875,1.41619624074075,1.72353778228962,0.766,0.861317627974365,2.47035448574753,2
"22",10,1.10623372422169,1.29049739260491,0.8678,0.82243337419298,1.24088384480912,0.9129,1.64386521619829,2.27819251970821,0.6492,0.758540460733371,1.10714202306281,0.9239,1.35445633333334,1.48260404653272,0.7964,0.880856433454659,1.92436243567434,2
"23",11,0.974783601450538,1.26415962876582,0.8888,0.87759518093533,1.28875004653405,0.91,1.65866560764499,2.30358607983767,0.6955,0.71575337938435,1.12466187285878,0.9248,1.34680633333332,1.56791951131639,0.7958,0.885736746615252,1.94423869864094,2
"24",12,1.0095343501131,1.29723305351652,0.9152,0.86654946009318,1.28852266106921,0.9259,1.89894275673496,2.65112110346862,0.6853,0.897955786132388,1.24415819628075,0.9402,1.38705124722224,1.59858223635672,0.8354,0.885281751190914,2.17536897010781,2
"25",1,1.30293940500622,1.6686786962304,0.8452,0.906143837483723,1.34032586225374,0.9014,1.42276489654849,1.86529845671851,0.8498,0.782912950602878,1.16153600644567,0.9148,1.08926311111111,1.39950058747326,0.9048,0.887606455882047,2.28790551780022,3
"26",2,1.45655981861448,1.73656345993528,0.8587,0.892279174804688,1.36529439286046,0.914,1.4964119975733,1.92037920611818,0.8652,0.891405521944321,1.23100016588116,0.9173,1.17058304444446,1.54004750002642,0.8984,0.838090918210776,3.47776635040436,3
"27",3,1.3770867077515,1.63285286817938,0.8657,0.803312713623048,1.22590398525197,0.9232,1.43137887946459,1.79044220506613,0.8756,0.670402236107999,0.919084095745222,0.9522,1.12188044000001,1.42830376519577,0.8938,0.859418057433818,3.11877638642096,3
"28",4,1.93379873339743,2.84984858012432,0.5636,1.42025835164388,2.6353238659128,0.6014,2.03905661462458,3.14684186941111,0.5233,1.3224127591506,2.39577559843912,0.6402,1.68986871111113,2.72724178454236,0.5775,0.867510769864666,2.8154292180938,3
